id,name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
908,HD 222076 b,297,7.47,Gas Giant,2016,1.56,Jupiter,1.21,Jupiter,1.83,2.4,0.08,Radial Velocity
909,HD 222155 b,165,7.11716,Gas Giant,2011,2.12,Jupiter,1.19,Jupiter,5.14,11,0.16,Radial Velocity
910,HD 222582 b,138,7.68,Gas Giant,1999,8.37,Jupiter,1.12,Jupiter,1.34,1.6,0.73,Radial Velocity
911,HD 224538 b,258,8.06,Gas Giant,2016,7.02951,Jupiter,1.13,Jupiter,2.373375,3.3,0.48,Radial Velocity
912,HD 224693 b,305,8.23,Gas Giant,2006,0.7,Jupiter,1.25,Jupiter,0.191,0.07310062,0.1,Radial Velocity
913,HD 22496 b,44,8.57,Neptune-like,2021,5.57,Earth,2.22,Earth,0.051,0.013963039,0,Radial Velocity
914,HD 22532 b,526,7.85,Gas Giant,2022,2.12,Jupiter,1.19,Jupiter,1.9,2.4,0.03,Radial Velocity
915,HD 22781 b,106,8.78,Gas Giant,2011,13.65,Jupiter,1.1,Jupiter,1.167,1.4,0.82,Radial Velocity
916,HD 23079 b,109,7.12,Gas Giant,2001,2.61,Jupiter,1.18,Jupiter,1.6,2,0.1,Radial Velocity
917,HD 23127 b,306,8.58,Gas Giant,2006,1.527,Jupiter,1.21,Jupiter,2.37,3.3,0.41,Radial Velocity
918,HD 231701 b,355,8.97,Gas Giant,2007,1.13,Jupiter,1.22,Jupiter,0.567,0.3876797,0.13,Radial Velocity
919,HD 233604 b,2763,10.291,Gas Giant,2013,6.575,Jupiter,1.13,Jupiter,0.747,0.52566737,0.05,Radial Velocity
920,HD 233832 b,192,10.15,Gas Giant,2018,1.78,Jupiter,1.2,Jupiter,2.827,5.6,0.36,Radial Velocity
921,HD 23472 b,127,9.73,Super Earth,2019,8.32,Earth,2,Earth,0.1162,0.048459962,0.07,Transit
922,HD 23472 c,127,9.73,Super Earth,2019,3.41,Earth,1.87,Earth,0.1646,0.08158795,0.06,Transit
923,HD 23472 d,127,9.73,Terrestrial,2022,0.55,Earth,0.75,Earth,0.04298,0.0109514035,0.07,Transit
924,HD 23472 e,127,9.73,Terrestrial,2022,0.72,Earth,0.818,Earth,0.068,0.02162902,0.07,Transit
925,HD 23472 f,127,9.73,Super Earth,2022,0.77,Earth,1.137,Earth,0.0906,0.03340178,0.07,Transit
926,HD 23596 b,170,7.26122,Gas Giant,2003,11.56265,Jupiter,1.11,Jupiter,2.692222,4.2,0.28,Radial Velocity
927,HD 238090 b,50,9.71,Neptune-like,2020,6.89,Earth,0.225,Jupiter,0.0932,0.037508555,0.3,Radial Velocity
928,HD 238914 b,1694,8.770001,Gas Giant,2018,6,Jupiter,1.14,Jupiter,5.7,11.2,0.56,Radial Velocity
929,HD 240210 b,1215,8.270001,Gas Giant,2009,5.21,Jupiter,1.14,Jupiter,1.16,1.4,0.15,Radial Velocity
930,HD 240237 b,3045,8.19,Gas Giant,2011,15.89,Jupiter,1.09,Jupiter,1.92,2,0.4,Radial Velocity
931,HD 24040 b,152,7.515,Gas Giant,2006,3.86,Jupiter,1.16,Jupiter,4.92,10,0.04,Radial Velocity
932,HD 24040 c,152,7.515,Gas Giant,2021,0.201,Jupiter,0.834,Jupiter,1.3,1.4,0.11,Radial Velocity
933,HD 24064 b,979,6.74616,Gas Giant,2015,12.89,Jupiter,1.1,Jupiter,1.29,1.5,0.35,Radial Velocity
934,HD 24085 b,179,7.57,Neptune-like,2019,11.8,Earth,0.309,Jupiter,0.034,0.0054757018,0.22,Radial Velocity
935,HD 25015 b,122,8.87,Gas Giant,2019,9.01848,Jupiter,1.12,Jupiter,6.245213,16.8,0.34,Radial Velocity
936,HD 25171 b,181,7.77,Gas Giant,2010,0.915,Jupiter,1.24,Jupiter,2.971,4.9,0.04,Radial Velocity
937,HD 25723 b,375,5.60075,Gas Giant,2020,2.5,Jupiter,1.18,Jupiter,1.49,1.2511978,0.04,Radial Velocity
938,HD 25912 b,160,8.2,Neptune-like,2022,38.02619,Earth,0.615,Jupiter,0.241872,0.11444216,0.05,Radial Velocity
939,HD 25912 c,160,8.2,Gas Giant,2022,16.52835,Jupiter,1.09,Jupiter,17.779459,72.1,0.05,Radial Velocity
940,HD 260655 b,33,9.63,Super Earth,2022,2.14,Earth,1.24,Earth,0.02933,0.007665982,0.04,Transit
941,HD 260655 c,33,9.63,Super Earth,2022,3.09,Earth,1.533,Earth,0.04749,0.015605749,0.04,Transit
942,HD 26161 b,133,6.89333,Gas Giant,2021,13.5,Jupiter,1.1,Jupiter,20.4,87.7,0.82,Radial Velocity
